colname,award,idv,Tag,size,definition
AWARD_DEPARTMENT_ID,list_element[['awardID']][['awardContractID']][['agencyID']][[1]],list_element[['contractID']][['IDVID']][['agencyID']][[1]],no,VARCHAR(75),NA
A76_ACTION,list_element[['competition']][['A76Action']][[1]],list_element[['competition']][['A76Action']][[1]],no,"VARCHAR(1),",Indicates whether the contract action has resulted from an A-76/Fair Act competitive sourcing process.
AGENCY,list_element[['vendor']][['vendorSiteDetails']][['vendorBusinessTypes']][['federalGovernment']][['isFederalGovernmentAgency']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorBusinessTypes']][['federalGovernment']][['isFederalGovernmentAgency']][[1]],no,VARCHAR(8),https://www.sam.gov
AIOB_FLAG,list_element[['vendor']][['vendorSiteDetails']][['vendorSocioEconomicIndicators']][['isAmericanIndianOwned']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorSocioEconomicIndicators']][['isAmericanIndianOwned']][[1]],no,VARCHAR(3),"List characteristic of the contractor such as whether the selected contractor is an American Indian Owned Business or not. It can be derived from the SAM data element, 'Business Types'."
AIRPORT_AUTHORITY,list_element[['vendor']][['vendorSiteDetails']][['typeOfGovernmentEntity']][['isAirportAuthority']][[1]],list_element[['vendor']][['vendorSiteDetails']][['typeOfGovernmentEntity']][['isAirportAuthority']][[1]],no,VARCHAR(3),https://www.sam.gov
AITYPE,list_element[['contractData']][['contractActionType']][[1]],list_element[['contractData']][['contractActionType']][[1]],no,VARCHAR(1),"The type of award being entered by this transaction. Types of awards include Purchase Orders (PO), Delivery Orders (DO), BPA Calls and Definitive Contracts."
ALASKAN_NATIVE_CORPORATION,list_element[['vendor']][['vendorSiteDetails']][['vendorSocioEconomicIndicators']][['isAlaskanNativeOwnedCorporationOrFirm']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorSocioEconomicIndicators']][['isAlaskanNativeOwnedCorporationOrFirm']][[1]],no,VARCHAR(3),https://www.sam.gov
APAOB_FLAG,list_element[['vendor']][['vendorSiteDetails']][['vendorSocioEconomicIndicators']][['minorityOwned']][['isAsianPacificAmericanOwnedBusiness']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorSocioEconomicIndicators']][['minorityOwned']][['isAsianPacificAmericanOwnedBusiness']][[1]],no,VARCHAR(3),"List characteristic of the contractor such as whether the selected contractor is an Asian-Pacific American Owned Business or not. It can be derived from the SAM data element, 'Business Types'."
BAOB_FLAG,list_element[['vendor']][['vendorSiteDetails']][['vendorSocioEconomicIndicators']][['minorityOwned']][['isBlackAmericanOwnedBusiness']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorSocioEconomicIndicators']][['minorityOwned']][['isBlackAmericanOwnedBusiness']][[1]],no,VARCHAR(3),"List characteristic of the contractor such as whether the selected contractor is a Black American Owned Business or not. It can be derived from the SAM data element, 'Business Types'."
ULTIMATE_CONTRACT_VALUE,list_element[['dollarValues']][['baseAndAllOptionsValue']][[1]],list_element[['dollarValues']][['baseAndAllOptionsValue']][[1]],no,"NUMERIC(37,2)","For the Award it is the mutually agreed upon total contract value including all options (if any). For IDVs the value is the mutually agreed upon total contract value including all options (if any) AND the estimated value of all potential orders. For modifications enter the CHANGE, positive or negative of these values, if any."
BUNDLED_CONTRACT_EXCEPTION,list_element[['productOrServiceInformation']][['contractBundling']][[1]],list_element[['productOrServiceInformation']][['contractBundling']][[1]],no,VARCHAR(1),"""Bundling"" or ""bundled contract"" (1) Means the consolidating or combining of two or more requirements for supplies or services, previously provided or performed under separate smaller contracts, into a solicitation for a single contract, a multiple-award contract, a task order or delivery order that is likely to be unsuitable for award to a small business concern(but may be suitable for award to a small business with a Small Business Teaming Arrangement) due to-(i) The diversity, size, or specialized nature of the elements of the performance specified; (ii) The aggregate dollar value of the anticipated award; (iii) The geographical dispersion of the contract performance sites; or (iv) Any combination of the factors described in paragraphs (1)(i), (ii), and (iii) of this definition. (2) ""Separate smaller contract"" as used in this definition, means a contract that has been performed by one or more small business concerns or that was suitable for award to one or more small business concerns."
CAGE_CODE,list_element[['vendor']][['vendorSiteDetails']][['entityIdentifiers']][['cageCode']][[1]],list_element[['vendor']][['vendorSiteDetails']][['entityIdentifiers']][['cageCode']][[1]],no,VARCHAR(5),The CAGE Code of the contractor. Used as a key to SAM. Maps to the DUNS.
